dod_id,title,agency,media_type,year,season,suggested_filename,dvids_url
111720858,"DOW-UAP-PR081, 18 Oct 2020 [CALLSIGN] observes UAP",DoW/AARO,video,2020,2,DOD_111720858.mp4,https://www.dvidshub.net/video/1007805
111720861,"DOW-UAP-PR082, 16 OCT 2020 [CALLSIGN] views UAP",DoW/AARO,video,2020,2,DOD_111720861.mp4,https://www.dvidshub.net/video/1007807
111720883,"DOW-UAP-PR083, 7 October 2020 [CALLSIGN] observes UAP",DoW/AARO,video,2020,2,DOD_111720883.mp4,https://www.dvidshub.net/video/1007808
111720886,"DOW-UAP-PR084, 17 Sept 2020 [CALLSIGN] observes UAP",DoW/AARO,video,2020,2,DOD_111720886.mp4,https://www.dvidshub.net/video/1007810
111720822,"DOW-UAP-PR085, 16 Sept 2020 [CALLSIGN] [CALLSIGN] observes UAP",DoW/AARO,video,2020,2,DOD_111720822.mp4,https://www.dvidshub.net/video/1007796
111720827,"DOW-UAP-PR086, UAP from Dec 2019 (East Coast)",DoW/AARO,video,2019,2,DOD_111720827.mp4,https://www.dvidshub.net/video/1007797
111720830,"DOW-UAP-PR087, 05 September 2020 [CALLSIGN] UAP",DoW/AARO,video,2020,2,DOD_111720830.mp4,https://www.dvidshub.net/video/1007799
111720843,"DOW-UAP-PR088, 31 AUG [CALLSIGN] [CALLSIGN] Observes UAP",DoW/AARO,video,2020,2,DOD_111720843.mp4,https://www.dvidshub.net/video/1007800
111719730,"DOW-UAP-PR089, 31 AUG [CALLSIGN] [CALLSIGN] Observes UAP part2",DoW/AARO,video,2020,2,DOD_111719730.mp4,https://www.dvidshub.net/video/1007712
111719746,"DOW-UAP-PR090, 24 AUG 2020 [CALLSIGN] (Mission) Observes UAP",DoW/AARO,video,2020,2,DOD_111719746.mp4,https://www.dvidshub.net/video/1007719
111719739,"DOW-UAP-PR091, 21 AUG [CALLSIGN] Observes UAP in Persian Gulf",DoW/AARO,video,2020,2,DOD_111719739.mp4,https://www.dvidshub.net/video/1007716
111719736,"DOW-UAP-PR092, 08 AUG 2020 [CALLSIGN] [CALLSIGN] UAP observation",DoW/AARO,video,2020,2,DOD_111719736.mp4,https://www.dvidshub.net/video/1007715
111719795,"DOW-UAP-PR093, May 05 2020 Gulf of Arabia [CALLSIGN] (Platform) Dual UAP",DoW/AARO,video,2020,2,DOD_111719795.mp4,https://www.dvidshub.net/video/1007721
111719799,"DOW-UAP-PR094, [CALLSIGN] (Mission) - HD 2020-02-13",DoW/AARO,video,2020,2,DOD_111719799.mp4,https://www.dvidshub.net/video/1007722
111719804,"DOW-UAP-PR095, May 05 2020 Gulf of Arabia [CALLSIGN] (Platform) Dual UAP",DoW/AARO,video,2020,2,DOD_111719804.mp4,https://www.dvidshub.net/video/1007725
111719807,"DOW-UAP-PR096, HH11 03 July 2018 UAPs",DoW/AARO,video,2018,2,DOD_111719807.mp4,https://www.dvidshub.net/video/1007726
111719813,"DOW-UAP-PR097, Hi-Res: [CALLSIGN] Observes UAP on 25SEP19 at 2135Z",DoW/AARO,video,2019,2,DOD_111719813.mp4,https://www.dvidshub.net/video/1007728
111719833,"DOW-UAP-PR098, UFOs in formation over Persian Gulf?",DoW/AARO,video,2019,2,DOD_111719833.mp4,https://www.dvidshub.net/video/1007737
111719835,"DOW-UAP-PR099, Hi-Res: [CALLSIGN] Observes UAP on 25SEP19 at 1715Z",DoW/AARO,video,2019,2,DOD_111719835.mp4,https://www.dvidshub.net/video/1007738
111721693,"NASA-UAP-D008, Apollo 12 Medical Debriefing - Tape 12, 1969",NASA,audio,1969,2,DOD_111721693.mp4,https://www.dvidshub.net/video/1007870
111721698,"NASA-UAP-D009, Apollo 17 Audio Excerpt, December 7, 1972",NASA,audio,1972,2,DOD_111721698.mp4,https://www.dvidshub.net/video/1007872
111721711,"NASA-UAP-D010, Mercury Atlas 9 Audio Excerpt, May 15, 1963",NASA,audio,1963,2,DOD_111721711.mp4,https://www.dvidshub.net/video/1007874
111721737,"NASA-UAP-D011, Mercury Atlas 9 Audio Excerpt, May 15, 1963",NASA,audio,1963,2,DOD_111721737.mp4,https://www.dvidshub.net/video/1007876
111721747,"NASA-UAP-D012, Mercury Atlas 8 Audio Excerpt, October 3, 1962",NASA,audio,1962,2,DOD_111721747.mp4,https://www.dvidshub.net/video/1007877
111721758,"NASA-UAP-D013, Mercury Atlas 7, May 24, 1962",NASA,video,1962,2,DOD_111721758.mp4,https://www.dvidshub.net/video/1007879
111721755,"NASA-UAP-D014, Mercury-Redstone 4, July 21, 1961",NASA,video,1961,2,DOD_111721755.mp4,https://www.dvidshub.net/video/1007878
111764142,FBI-UAP-PR001_Triangle-Orbs_2021,FBI,video,2021,3,DOD_111764142.mp4,https://www.dvidshub.net/video/1010263
111764148,"FBI-UAP-PR002, Red Orb Rotation, Northeastern United States, 2022",FBI,video,2022,3,DOD_111764148.mp4,https://www.dvidshub.net/video/1010264
111764159,"FBI-UAP-PR003, Orbs Over the Pond, 2024",FBI,video,2024,3,DOD_111764159.mp4,https://www.dvidshub.net/video/1010267
111764177,"FBI-UAP-PR004, Northeastern Orb Sighting, 2025",FBI,video,2025,3,DOD_111764177.mp4,https://www.dvidshub.net/video/1010269
111764189,"FBI-UAP-PR005, Digital Recreation, Narrative Statement 3-1, Western United States Event, 2023",FBI,video,2023,3,DOD_111764189.mp4,https://www.dvidshub.net/video/1010272
111764213,"FBI-UAP-PR006, Digital Recreation, Narrative Statement 3-2, Western United States Event, 2023",FBI,video,2023,3,DOD_111764213.mp4,https://www.dvidshub.net/video/1010276
111764959,"NASA-UAP-D023, Interview Excerpt with Astronaut Gordon Cooper, 1962",NASA,audio,1962,3,DOD_111764959.mp4,https://www.dvidshub.net/video/1010337
111764796,"NASA-UAP-D024, Apollo 16 Scientific Debriefing",NASA,audio,1972,3,DOD_111764796.mp4,https://www.dvidshub.net/video/1010319
111764902,"NASA-UAP-D025, Apollo 16 Scientific Debriefing",NASA,audio,1972,3,DOD_111764902.mp4,https://www.dvidshub.net/video/1010336
